timestamp,transaction-fees
1658188800000,26.684354779999996
1658275200000,25.64368542000001
1658361600000,24.191234770000005
1658448000000,21.746582989999997
1658534400000,13.450465029999998
1658620800000,10.677899700000001
1658707200000,12.659784689999997
1658793600000,14.563572740000005
1658880000000,12.14846598
1658966400000,16.141326599999996
1659052800000,15.169291159999998
1659139200000,12.478252440000006
1659225600000,10.946482859999996
1659312000000,14.450534099999997
1659398400000,15.17426654
1659484800000,15.576572400000005
1659571200000,17.5691281
1659657600000,19.59420281
1659744000000,13.550944609999997
1659830400000,11.103388310000003
1659916800000,15.522830250000007
1660003200000,22.94095828
1660089600000,19.064886800000007
1660176000000,18.64861835
1660262400000,17.287081850000003
1660348800000,11.569899080000006
1660435200000,7.940145240000001
1660521600000,10.516783190000002
1660608000000,11.793985050000002
1660694400000,15.181718970000006
1660780800000,14.945102959999998
1660867200000,13.829029049999992
1660953600000,9.04033101
1661040000000,7.9226078700000055
1661126400000,10.548105880000003
1661212800000,11.490086569999997
1661299200000,9.779415539999999
1661385600000,10.89698816
1661472000000,11.316776899999999
1661558400000,8.786082980000005
1661644800000,7.495430409999999
1661731200000,11.008257659999996
1661817600000,12.100508229999999
1661904000000,13.0560369
1661990400000,14.71813337
1662076800000,18.277006289999996
1662163200000,14.517866340000005
1662249600000,10.468580169999997
1662336000000,14.051682599999998
1662422400000,15.29135514
1662508800000,14.779833100000005
1662595200000,15.388841480000002
1662681600000,17.518217639999996
1662768000000,12.414737120000003
1662854400000,10.218868389999999
1662940800000,12.97488111999999
1663027200000,15.56089316
1663113600000,17.119207890000002
1663200000000,17.305996939999993
1663286400000,19.074281950000003
1663372800000,16.84695896
1663459200000,12.176171550000005
1663545600000,13.115112329999999
1663632000000,14.740804660000006
1663718400000,14.007190430000005
1663804800000,12.921849560000002
1663891200000,15.76017685
1663977600000,11.208016030000003
1664064000000,10.51389711
1664150400000,14.465445650000003
1664236800000,16.78181016000001
1664323200000,14.034274380000005
1664409600000,14.876380000000003
1664496000000,16.583648199999992
1664582400000,12.312377590000002
1664668800000,9.031768799999998
1664755200000,11.480007599999997
1664841600000,10.254465289999999
1664928000000,9.209774780000005
1665014400000,10.175776840000001
1665100800000,10.589537800000004
1665187200000,6.680587199999998
1665273600000,5.9324118200000004
1665360000000,8.094368549999999
1665446400000,8.843538890000007
1665532800000,9.430387910000002
1665619200000,14.791093839999995
1665705600000,14.972679840000005
1665792000000,9.297972970000002
1665878400000,8.21248342
1665964800000,13.04780993
1666051200000,16.721900499999993
1666137600000,16.729979620000012
1666224000000,12.782906639999995
1666310400000,11.793922260000006
1666396800000,9.275672059999996
1666483200000,7.755342119999997
1666569600000,11.951984580000001
1666656000000,16.798805109999993
1666742400000,23.54978160000001
1666828800000,17.359527899999996
1666915200000,18.72427351
1667001600000,14.665163750000003
1667088000000,12.734305290000005
1667174400000,15.408546639999997
1667260800000,14.951825980000002
1667347200000,16.72286641000001
1667433600000,18.920827809999988
1667520000000,19.657448959999996
1667606400000,16.01921818999999
1667692800000,13.763168760000001
1667779200000,15.888307670000003
1667865600000,21.878516740000006
1667952000000,24.963782759999997
1668038400000,24.337801560000006
1668124800000,21.931110170000007
1668211200000,16.182201490000004
1668297600000,16.368784639999998
1668384000000,22.849395859999998
1668470400000,36.313109970000006
1668556800000,35.522876789999984
1668643200000,34.54296318999999
1668729600000,43.728193619999985
1668816000000,27.05581977
1668902400000,19.441188710000002
1668988800000,25.365681919999993
1669075200000,26.78202381000001
1669161600000,28.849842879999994
1669248000000,27.963748599999995
1669334400000,27.05300031
1669420800000,23.656080399999993
1669507200000,17.780746309999998
1669593600000,22.940244020000005
1669680000000,23.247694430000003
1669766400000,27.12249692
1669852800000,29.317239309999994
1669939200000,28.777946439999994
1670025600000,23.08110451000001
1670112000000,16.896306259999992
1670198400000,21.331829059999997
1670284800000,22.499145849999998
1670371200000,18.324438660000006
1670457600000,14.875923830000003
1670544000000,13.758093820000004
1670630400000,12.258936410000002
1670716800000,8.19227598
1670803200000,12.61235304
1670889600000,13.220870679999997
1670976000000,15.09499795999999
1671062400000,20.34853506
1671148800000,16.566317870000002
1671235200000,17.43271938
1671321600000,11.580907439999999
1671408000000,18.069058319999993
1671494400000,18.05089091
1671580800000,16.529144940000005
1671667200000,17.139276409999997
1671753600000,17.374282509999997
1671840000000,17.63921588
1671926400000,13.708164819999999
1672012800000,17.542172259999997
1672099200000,23.851985059999993
1672185600000,20.678244829999993
1672272000000,20.581819499999995
1672358400000,21.794251199999998
1672444800000,12.180264259999996
1672531200000,7.112755269999999
1672617600000,8.824292550000001
1672704000000,12.727828579999997
1672790400000,14.774281600000002
1672876800000,14.271284650000005
1672963200000,13.201948180000006
1673049600000,8.396861959999994
1673136000000,6.781967409999997
1673222400000,10.866636119999995
1673308800000,11.15949274
1673395200000,12.423635660000004
1673481600000,16.51553844000001
1673568000000,16.624897999999995
1673654400000,14.02600690000001
1673740800000,7.979662749999998
1673827200000,10.301662030000005
1673913600000,12.94528909
1674000000000,16.09240569999999
1674086400000,16.2243167
1674172800000,19.557875499999998
1674259200000,16.32874344
1674345600000,13.757078050000006
1674432000000,14.924903609999998
1674518400000,16.92996076
1674604800000,12.9467282
1674691200000,12.096030559999997
1674777600000,14.302310940000005
1674864000000,11.61323579
1674950400000,8.463755600000002
1675036800000,11.292110209999999
1675123200000,18.615042980000005
1675209600000,22.09847212999999
1675296000000,21.857902910000007
1675382400000,24.340816740000005
1675468800000,20.355688760000003
1675555200000,13.976726330000005
1675641600000,18.42761143
1675728000000,22.20210172999999
