timestamp,market-price
1658188800000,22538.08
1658275200000,23403.29
1658361600000,23227.22
1658448000000,23154.09
1658534400000,22687.08
1658620800000,22461.7
1658707200000,22582.4
1658793600000,21300.72
1658880000000,21267.33
1658966400000,22950.29
1659052800000,23856.25
1659139200000,23792
1659225600000,23647.99
1659312000000,23326.49
1659398400000,23298.94
1659484800000,22981.77
1659571200000,22831.85
1659657600000,22608.3
1659744000000,23295.14
1659830400000,22947.19
1659916800000,23174.25
1660003200000,23816.32
1660089600000,23156.31
1660176000000,23959.92
1660262400000,23953.77
1660348800000,24418.38
1660435200000,24447.13
1660521600000,24314.89
1660608000000,24096.19
1660694400000,23876.29
1660780800000,23332.09
1660867200000,23193.99
1660953600000,20843.22
1661040000000,21150.33
1661126400000,21520.51
1661212800000,21402.93
1661299200000,21516.02
1661385600000,21377.51
1661472000000,21597.93
1661558400000,20233.32
1661644800000,20035.59
1661731200000,19550.07
1661817600000,20290.41
1661904000000,19793.02
1661990400000,20047.68
1662076800000,20130.52
1662163200000,19952.91
1662249600000,19834.94
1662336000000,19994.65
1662422400000,19789.87
1662508800000,18806.7
1662595200000,19280.08
1662681600000,19327.53
1662768000000,21387.58
1662854400000,21673.03
1662940800000,21794.52
1663027200000,22392.71
1663113600000,20172.56
1663200000000,20219.55
1663286400000,19694.69
1663372800000,19787.61
1663459200000,20122.71
1663545600000,19415.86
1663632000000,19542.2
1663718400000,18879.96
1663804800000,18507.36
1663891200000,19408.63
1663977600000,19280.58
1664064000000,18931.79
1664150400000,18807.71
1664236800000,19227.26
1664323200000,19104.89
1664409600000,19530.71
1664496000000,19598.86
1664582400000,19427.2
1664668800000,19314.69
1664755200000,19049.72
1664841600000,19632.61
1664928000000,20342.25
1665014400000,20167.79
1665100800000,19956.49
1665187200000,19544.82
1665273600000,19417.73
1665360000000,19441.88
1665446400000,19132.52
1665532800000,19049.64
1665619200000,19156.21
1665705600000,19383.33
1665792000000,19184.71
1665878400000,19063.1
1665964800000,19265.53
1666051200000,19548.97
1666137600000,19330.74
1666224000000,19125.65
1666310400000,19046.83
1666396800000,19171.34
1666483200000,19205.45
1666569600000,19565.91
1666656000000,19338.9
1666742400000,20101.27
1666828800000,20772.36
1666915200000,20288.52
1667001600000,20601.63
1667088000000,20816.16
1667174400000,20628.5
1667260800000,20499.29
1667347200000,20486.26
